"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","should return users","chromium","Fri Jun 27 10:52:01 UTC 2025","passed","Fri Jun 27 10:52:01 UTC 2025","","apiTest.spec.js","",""
"","2781","should list and select options from facility dropdown","chromium","Fri Jun 27 10:52:23 UTC 2025","passed","Fri Jun 27 10:52:26 UTC 2025","","hooks.spec.js","",""
"","1161","should fill the date picker input with a specific date","chromium","Fri Jun 27 10:52:09 UTC 2025","passed","Fri Jun 27 10:52:10 UTC 2025","","datePicker.spec.js","",""
"","1237","should validate the first country option in the dropdown using various methods","chromium","Fri Jun 27 10:52:13 UTC 2025","passed","Fri Jun 27 10:52:14 UTC 2025","","dropdowns.spec.js","",""
"","1255","should have 10 country options in the dropdown","chromium","Fri Jun 27 10:52:12 UTC 2025","passed","Fri Jun 27 10:52:13 UTC 2025","","dropdowns.spec.js","",""
"","2172","should interact with multiple frames and fill input fields","chromium","Fri Jun 27 10:52:17 UTC 2025","passed","Fri Jun 27 10:52:19 UTC 2025","","handleIFrames.spec.js","",""
"","917","should navigate to ParaBank page","chromium","Fri Jun 27 10:52:35 UTC 2025","passed","Fri Jun 27 10:52:36 UTC 2025","","reporters.spec.js","",""
"","1642","should select a suggestion from Wikipedia auto-suggest dropdown","chromium","Fri Jun 27 10:52:02 UTC 2025","passed","Fri Jun 27 10:52:04 UTC 2025","","autoSuggestDropdown.spec.js","",""
"","2026","should select the 25th day from the date picker calendar","chromium","Fri Jun 27 10:52:10 UTC 2025","passed","Fri Jun 27 10:52:12 UTC 2025","","datePicker.spec.js","",""
"","1334","should handle confirm dialog and dismiss it","chromium","Fri Jun 27 10:52:00 UTC 2025","passed","Fri Jun 27 10:52:01 UTC 2025","","alerts.spec.js","",""
"","882","should visit each product on Demoblaze and print its name","chromium","Fri Jun 27 10:52:27 UTC 2025","passed","Fri Jun 27 10:52:28 UTC 2025","","locatingMultipleElements.spec.js","",""
"","1372","should register a user","chromium","Fri Jun 27 10:52:33 UTC 2025","passed","Fri Jun 27 10:52:35 UTC 2025","","pom.spec.js","",""
"","2019","should list and select options from facility dropdown - 2","chromium","Fri Jun 27 10:52:25 UTC 2025","passed","Fri Jun 27 10:52:27 UTC 2025","","hooks.spec.js","",""
"","1627","should generate test using codegen","chromium","Fri Jun 27 10:52:16 UTC 2025","passed","Fri Jun 27 10:52:17 UTC 2025","","generatingScriptsUsingCodegen.spec.js","",""
"","919","should select multiple colors and verify selected and total options in multi-select dropdown","chromium","Fri Jun 27 10:52:33 UTC 2025","passed","Fri Jun 27 10:52:34 UTC 2025","","multiSelectDropdown.spec.js","",""
"","1667","should return to Parabank home page by clicking the logo using getByTitle","chromium","Fri Jun 27 10:52:07 UTC 2025","passed","Fri Jun 27 10:52:09 UTC 2025","","builtInLocators.spec.js","",""
"","1307","should handle alert dialog and accept it","chromium","Fri Jun 27 10:52:00 UTC 2025","passed","Fri Jun 27 10:52:01 UTC 2025","","alerts.spec.js","",""
"","250","should delete the created user","chromium","Fri Jun 27 10:52:02 UTC 2025","passed","Fri Jun 27 10:52:02 UTC 2025","User CRUD Operations","apiTest.spec.js","",""
"","3333","should handle new tab opening and validate its title in OrangeHRM","chromium","Fri Jun 27 10:52:22 UTC 2025","passed","Fri Jun 27 10:52:25 UTC 2025","","handlingWindows.spec.js","",""
"","1075","should validate form fields and error messages inside the Products iframe","chromium","Fri Jun 27 10:52:17 UTC 2025","passed","Fri Jun 27 10:52:18 UTC 2025","","handleIFrames.spec.js","",""
"","964","should copy text on double-click using dblclick method","chromium","Fri Jun 27 10:52:31 UTC 2025","passed","Fri Jun 27 10:52:32 UTC 2025","","mouseDoubleClick.spec.js","",""
"","1685","should navigate to the OWASp page","chromium","Fri Jun 27 10:52:36 UTC 2025","passed","Fri Jun 27 10:52:38 UTC 2025","","reporters.spec.js","",""
"","4884","should open and close the Demos dropdown using getByRole locator","chromium","Fri Jun 27 10:52:44 UTC 2025","passed","Fri Jun 27 10:52:49 UTC 2025","","tracing.spec.js","",""
"","997","should navigate to Parabank using getByText locator","chromium","Fri Jun 27 10:52:45 UTC 2025","passed","Fri Jun 27 10:52:46 UTC 2025","","tracing.spec.js","",""
"","4920","should interact with a nested frame and click elements inside it","chromium","Fri Jun 27 10:52:18 UTC 2025","passed","Fri Jun 27 10:52:23 UTC 2025","","handleNestedFrames.spec.js","",""
"","1881","should select a specific date using the date picker UI and validate input value","chromium","Fri Jun 27 10:52:09 UTC 2025","passed","Fri Jun 27 10:52:11 UTC 2025","","datePicker.spec.js","",""
"","1274","should upload multiple PDF files and submit the form","chromium","Fri Jun 27 10:52:47 UTC 2025","passed","Fri Jun 27 10:52:49 UTC 2025","","uploadFiles.spec.js","",""
"","752","should handle prompt dialog, provide input, and accept it","chromium","Fri Jun 27 10:52:01 UTC 2025","passed","Fri Jun 27 10:52:02 UTC 2025","","alerts.spec.js","",""
"","271","should update the created user","chromium","Fri Jun 27 10:52:01 UTC 2025","passed","Fri Jun 27 10:52:02 UTC 2025","User CRUD Operations","apiTest.spec.js","",""
"","1300","should select country options by value, label, index, and multiple selections","chromium","Fri Jun 27 10:52:14 UTC 2025","passed","Fri Jun 27 10:52:16 UTC 2025","","dropdowns.spec.js","",""
"","1472","should validate all input fields, checkboxes, radio buttons, and form submission on practice-automation.com","chromium","Fri Jun 27 10:52:35 UTC 2025","passed","Fri Jun 27 10:52:36 UTC 2025","","recordVideos.spec.js","",""
"","6181","should take a full-page screenshot of the homepage","chromium","Fri Jun 27 10:52:38 UTC 2025","passed","Fri Jun 27 10:52:44 UTC 2025","","screenshot.spec.js","",""
"","6242","should take a screenshot of the homepage","chromium","Fri Jun 27 10:52:37 UTC 2025","passed","Fri Jun 27 10:52:43 UTC 2025","","screenshot.spec.js","",""
"","1118","should print all product details and read data from all paginated table pages","chromium","Fri Jun 27 10:52:44 UTC 2025","passed","Fri Jun 27 10:52:45 UTC 2025","","table.spec.js","",""
"","1440","should return to Parabank home page by clicking the logo using getByAitText","chromium","Fri Jun 27 10:52:06 UTC 2025","passed","Fri Jun 27 10:52:07 UTC 2025","","builtInLocators.spec.js","",""
"","978","should hover over the dropdown button on testautomationpractice","chromium","Fri Jun 27 10:52:32 UTC 2025","passed","Fri Jun 27 10:52:33 UTC 2025","","mouseHover.spec.js","",""
"","1104","should copy text on double-click using clickCount option","chromium","Fri Jun 27 10:52:29 UTC 2025","passed","Fri Jun 27 10:52:31 UTC 2025","","mouseDoubleClick.spec.js","",""
"","1111","should validate form controls and UI assertions on nopCommerce registration page","chromium","Fri Jun 27 10:52:02 UTC 2025","passed","Fri Jun 27 10:52:03 UTC 2025","","assertions.spec.js","",""
"","3295","should copy text from first input and paste into second input using keyboard shortcuts","chromium","Fri Jun 27 10:52:26 UTC 2025","passed","Fri Jun 27 10:52:29 UTC 2025","","keyboardActions.spec.js","",""
"","1981","should validate all input fields, checkboxes, radio buttons, and form submission on practice-automation.com","chromium","Fri Jun 27 10:52:15 UTC 2025","passed","Fri Jun 27 10:52:17 UTC 2025","","formFields.spec.js","",""
"","1495","should login a user","chromium","Fri Jun 27 10:52:34 UTC 2025","passed","Fri Jun 27 10:52:35 UTC 2025","","pom.spec.js","",""
"","4925","should register, login, and visit each product on Demoblaze using locators","chromium","Fri Jun 27 10:52:28 UTC 2025","passed","Fri Jun 27 10:52:33 UTC 2025","","locators.spec.js","",""
"","740","should open context menu on right-click using jQuery-contextMenu demo","chromium","Fri Jun 27 10:52:33 UTC 2025","passed","Fri Jun 27 10:52:33 UTC 2025","","mouseRightClick.spec.js","",""
"","928","should upload and then clear multiple files in the file input","chromium","Fri Jun 27 10:52:49 UTC 2025","passed","Fri Jun 27 10:52:50 UTC 2025","","uploadFiles.spec.js","",""
"","1051","should validate product table structure and select products by name","chromium","Fri Jun 27 10:52:43 UTC 2025","passed","Fri Jun 27 10:52:44 UTC 2025","","table.spec.js","",""
"","1160","should upload a single PDF file and submit the form","chromium","Fri Jun 27 10:52:46 UTC 2025","passed","Fri Jun 27 10:52:47 UTC 2025","","uploadFiles.spec.js","",""
"","1402","should navigate to Parabank using getByText locator","chromium","Fri Jun 27 10:52:04 UTC 2025","passed","Fri Jun 27 10:52:06 UTC 2025","","builtInLocators.spec.js","",""
"","639","should navigate to the Demoblaze page","chromium","Fri Jun 27 10:52:36 UTC 2025","passed","Fri Jun 27 10:52:37 UTC 2025","","reporters.spec.js","",""
"","5749","should open and close the Demos dropdown using getByRole locator","chromium","Fri Jun 27 10:52:03 UTC 2025","passed","Fri Jun 27 10:52:09 UTC 2025","","builtInLocators.spec.js","",""
"","1181","should check presence of a value and label in the country dropdown","chromium","Fri Jun 27 10:52:14 UTC 2025","passed","Fri Jun 27 10:52:15 UTC 2025","","dropdowns.spec.js","",""
"","3240","should drag and drop Washington to United States","chromium","Fri Jun 27 10:52:11 UTC 2025","passed","Fri Jun 27 10:52:14 UTC 2025","","dragAndDrop.spec.js","",""
"","2337","should open multiple pages in one browser context and validate their titles","chromium","Fri Jun 27 10:52:19 UTC 2025","passed","Fri Jun 27 10:52:22 UTC 2025","","handlingWindows.spec.js","",""
